127.0.0.1 - - [30/Apr/2024:14:37:33 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [30/Apr/2024:14:37:36 +0700] "GET /movie-app/home_page.jsp HTTP/1.1" 200 2561
0:0:0:0:0:0:0:1 - - [30/Apr/2024:14:37:36 +0700] "GET /favicon.ico HTTP/1.1" 404 684
0:0:0:0:0:0:0:1 - - [30/Apr/2024:14:37:43 +0700] "GET /movie-app/home_page.jsp HTTP/1.1" 200 2561
0:0:0:0:0:0:0:1 - - [30/Apr/2024:14:37:44 +0700] "GET /movie-app/css/blockedPage.css HTTP/1.1" 404 710
0:0:0:0:0:0:0:1 - - [30/Apr/2024:14:38:24 +0700] "GET /movie-app/home_page.jsp HTTP/1.1" 200 2561
0:0:0:0:0:0:0:1 - - [30/Apr/2024:14:38:25 +0700] "GET /movie-app/css/blockedPage.css HTTP/1.1" 404 710
0:0:0:0:0:0:0:1 - - [30/Apr/2024:14:38:29 +0700] "GET /movie-app/home_page.jsp HTTP/1.1" 200 2561
0:0:0:0:0:0:0:1 - - [30/Apr/2024:14:38:30 +0700] "GET /movie-app/css/blockedPage.css HTTP/1.1" 404 710
0:0:0:0:0:0:0:1 - - [30/Apr/2024:14:40:15 +0700] "GET /movie-app/home_page.jsp HTTP/1.1" 200 2670
0:0:0:0:0:0:0:1 - - [30/Apr/2024:14:40:16 +0700] "GET /movie-app/css/blockedPage.css HTTP/1.1" 404 710
0:0:0:0:0:0:0:1 - - [30/Apr/2024:14:42:04 +0700] "GET /movie-app/home_page.jsp HTTP/1.1" 200 2652
0:0:0:0:0:0:0:1 - - [30/Apr/2024:14:42:05 +0700] "GET /movie-app/css/blockedPage.css HTTP/1.1" 404 788
0:0:0:0:0:0:0:1 - - [30/Apr/2024:14:42:05 +0700] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [30/Apr/2024:14:42:08 +0700] "GET /movie-app/home_page.jsp HTTP/1.1" 200 2652
0:0:0:0:0:0:0:1 - - [30/Apr/2024:14:42:08 +0700] "GET /movie-app/css/blockedPage.css HTTP/1.1" 404 788
0:0:0:0:0:0:0:1 - - [30/Apr/2024:14:42:23 +0700] "GET /movie-app/home_page.jsp HTTP/1.1" 200 2634
0:0:0:0:0:0:0:1 - - [30/Apr/2024:14:42:23 +0700] "GET /movie-app/css/blockedPage.css HTTP/1.1" 404 788
0:0:0:0:0:0:0:1 - - [30/Apr/2024:14:43:03 +0700] "GET /movie-app/home_page.jsp HTTP/1.1" 200 2612
0:0:0:0:0:0:0:1 - - [30/Apr/2024:14:43:03 +0700] "GET /movie-app/css/blockedPage.css HTTP/1.1" 404 788
0:0:0:0:0:0:0:1 - - [30/Apr/2024:14:43:05 +0700] "GET /movie-app/home_page.jsp HTTP/1.1" 200 2612
0:0:0:0:0:0:0:1 - - [30/Apr/2024:14:43:05 +0700] "GET /movie-app/css/blockedPage.css HTTP/1.1" 404 788
0:0:0:0:0:0:0:1 - - [30/Apr/2024:14:45:05 +0700] "GET /movie-app/home_page.jsp HTTP/1.1" 200 2612
0:0:0:0:0:0:0:1 - - [30/Apr/2024:14:45:05 +0700] "GET /movie-app/css/blockedPage.css HTTP/1.1" 404 788
0:0:0:0:0:0:0:1 - - [30/Apr/2024:14:45:47 +0700] "GET /movie-app/home_page.jsp HTTP/1.1" 200 2514
0:0:0:0:0:0:0:1 - - [30/Apr/2024:14:45:48 +0700] "GET /movie-app/css/blockedPage.css HTTP/1.1" 404 788
0:0:0:0:0:0:0:1 - - [30/Apr/2024:14:46:29 +0700] "GET /movie-app/home_page.jsp HTTP/1.1" 200 2434
0:0:0:0:0:0:0:1 - - [30/Apr/2024:14:46:30 +0700] "GET /movie-app/css/blockedPage.css HTTP/1.1" 404 788
0:0:0:0:0:0:0:1 - - [30/Apr/2024:14:47:19 +0700] "GET /movie-app/home_page.jsp HTTP/1.1" 200 2433
0:0:0:0:0:0:0:1 - - [30/Apr/2024:14:47:20 +0700] "GET /movie-app/css/blockedPage.css HTTP/1.1" 404 788
0:0:0:0:0:0:0:1 - - [30/Apr/2024:14:48:48 +0700] "GET /movie-app/home_page.jsp HTTP/1.1" 200 2434
0:0:0:0:0:0:0:1 - - [30/Apr/2024:14:48:49 +0700] "GET /movie-app/css/blockedPage.css HTTP/1.1" 404 788
0:0:0:0:0:0:0:1 - - [30/Apr/2024:14:48:51 +0700] "GET /movie-app/home_page.jsp HTTP/1.1" 200 2434
0:0:0:0:0:0:0:1 - - [30/Apr/2024:14:48:51 +0700] "GET /movie-app/css/blockedPage.css HTTP/1.1" 404 788
0:0:0:0:0:0:0:1 - - [30/Apr/2024:14:48:53 +0700] "GET /movie-app/home_page.jsp HTTP/1.1" 200 2434
